sequence_num,timestamp,event_type,actor,source_module,description,cve_id,tes_score,decision,session_id,ip_address,immutable
1,2026-04-24T22:53:15.932521Z,USER_LOGOUT,analyst@tempris.sg,Auth service,Session ended,,,,70d518a2-fb91-4f72-b46f-e7a78169d850,10.0.1.15,True
2,2026-04-24T22:57:15.932521Z,SPEAK_QUERY,analyst@tempris.sg,SPEAK chatbot,AI security query processed,,,,1c968676-74ae-489b-b734-1640237c2363,10.0.1.3,True
3,2026-04-25T01:32:43.932521Z,EDIP_DECISION_MADE,analyst@tempris.sg,SPECTRUM EDIP,Analyst decision recorded: Accept,CVE-2024-1708,8.6,Transfer,4428cec3-5b7b-4cc0-8eea-6cd4b829eda9,10.0.1.4,True
4,2026-04-25T01:57:41.932521Z,EDIP_DECISION_MADE,ciso@tempris.sg,SPECTRUM EDIP,CISO override: Transfer to insurance,CVE-2024-3400,9.25,Mitigate,5bcdf9a7-1176-42b9-a6f8-1eb698a1d85f,10.0.1.5,True
5,2026-04-25T02:44:42.932521Z,ASSET_CREATED,admin@tempris.sg,SYNTHESIS,Asset registered in inventory,,,,65565e71-649d-4c2c-ac14-95a1f8b69223,10.0.1.19,True
6,2026-04-25T02:58:01.932521Z,USER_LOGIN,viewer@tempris.sg,Auth service,Read-only user authenticated,,,,91eecead-f9c3-4f6d-8c53-97a86ae03949,10.0.1.7,True
7,2026-04-25T03:03:35.932521Z,STRIKE_SIM_COMPLETED,system,STRIKE module,"Simulation completed, results linked to SPECTRUM",,,,fddf8a6b-341f-4255-a1c0-f483ddb4f21f,10.0.1.15,True
8,2026-04-25T04:16:20.932521Z,EDIP_DECISION_MADE,analyst@tempris.sg,SPECTRUM EDIP,Analyst decision recorded: Mitigate,CVE-2024-53704,9.78,Accept,28cf2df3-ff33-4eb9-b449-1f97e99e8e87,10.0.1.12,True
9,2026-04-25T05:01:51.932521Z,USER_LOGIN,admin@tempris.sg,Auth service,User authenticated successfully,,,,07118f20-6750-490e-b6ca-4ed5553af2d0,10.0.1.17,True
10,2026-04-25T06:18:43.932521Z,STRIKE_AUTH_CREATED,ciso@tempris.sg,STRIKE module,Written scope authorisation created,,,,453a76f2-6199-4d2a-8808-608ab13f3afa,10.0.1.18,True
